Name,Nationality,Overall Rank,Cumulative Score
Xiao Ruoteng,CHN,1,86.933
Lin Chaopan,CHN,2,86.448
Kenzo Shirai,JPN,3,86.431
David Belyavskiy,RUS,4,86.315
Manrique Larduet,CUB,5,86.031
Nile Wilson,GBR,6,85.332
Yul Moldauer,USA,7,84.998
Oleg Verniaiev,UKR,8,83.997
Ahmet Onder,TUR,9,83.831
Nikita Nagornyy,RUS,10,83.239
Jo Calvo Moreno,COL,11,83.031
Pablo Braegger,SUI,12,82.732
Artur Davtyan,ARM,13,82.332
Garam Bae,KOR,14,80.532
Caio Souza,BRA,15,80.531
Marios Georgiou,CYP,16,80.233
Robert Tvorogal,LTU,17,80.232
Philipp Herder,GER,18,80.166
Eddy Yusof,SUI,19,80.164
Ferhat Arican,TUR,20,80.04
Zachary Clay,CAN,21,79.899
Tomas Kuzmickas,LTU,22,79.664
Kevin Cerda,MEX,23,76.931
Joel Plata Rodriguez,SP,24,76.698